,oa,f_1,f_2,f_3,f_4,f_5,f_6
0,0.203960546,0.094701585,0.175805148,0.363996051,0.141647578,0.216525358,0.05176319
1,0.380289087,0.134313412,0.358510897,0.714658269,0.251386395,0.273029879,0.048141246
2,0.53287907,0.217882824,0.618641779,0.848636594,0.467737732,0.354700783,0.032397375
3,0.618214554,0.377176222,0.709218403,0.929736566,0.620640825,0.399271628,0.030664128
4,0.705344505,0.667426256,0.774147284,0.945885215,0.673765345,0.493464964,0.04658517
5,0.750928039,0.73659164,0.782385516,0.947389613,0.755775359,0.558516035,0.168448849
6,0.787408364,0.770933368,0.815284554,0.957265009,0.786035261,0.633109661,0.356970708
7,0.818876887,0.791090003,0.858595959,0.960573809,0.816272773,0.650190169,0.594203866
8,0.835496277,0.823470244,0.865380821,0.964405643,0.839426053,0.657741253,0.692052283
9,0.845537131,0.876140995,0.863089319,0.967474758,0.844739209,0.664703126,0.712763378
10,0.836528757,0.875361928,0.873326057,0.956990354,0.831334144,0.644781847,0.679194191
11,0.851175329,0.871822609,0.878323445,0.969618091,0.858139515,0.663187093,0.75783765
12,0.862659711,0.882898222,0.883340645,0.965898223,0.854618461,0.696897481,0.804399199
13,0.881298582,0.912793271,0.889149272,0.968524512,0.875291491,0.73395859,0.816958405
14,0.876087386,0.914033997,0.895768445,0.972339366,0.864569592,0.718395298,0.780911522
15,0.87465141,0.902775247,0.894774459,0.975293125,0.877066751,0.700606391,0.804786265
16,0.89677896,0.93241334,0.91155123,0.977213354,0.887524484,0.757972709,0.811625753
17,0.882529694,0.908304044,0.917556577,0.975679375,0.862763819,0.724531905,0.801446022
18,0.885263923,0.917834691,0.891028585,0.974673178,0.883535146,0.729164193,0.837572469
19,0.902011189,0.92620924,0.922343843,0.981313928,0.891004668,0.752401384,0.865157893
20,0.898541955,0.924939339,0.924778754,0.975953799,0.89663156,0.74565532,0.845889082
21,0.890201161,0.909859572,0.915247004,0.979072055,0.873214311,0.728684566,0.859918643
22,0.896779079,0.931724113,0.913239319,0.97889263,0.883599808,0.74160706,0.856522495
23,0.899600493,0.928969274,0.922720486,0.982541474,0.887819293,0.744208209,0.853464676
24,0.903692564,0.923202968,0.934071144,0.984695762,0.889479639,0.75027022,0.854306367
25,0.887779831,0.928888132,0.91034961,0.974748095,0.871252766,0.724165159,0.828442478
26,0.905098522,0.940474871,0.922794136,0.984736448,0.892447242,0.752964124,0.854771675
